name,address,latitud,longitud,Location
Comfort Inn & Suites,"Del Valle Avenue 1829 | Levittown, San Juan 00949, Puerto Rico",18.456375,-66.182243,"Del Valle Avenue 1829 | Levittown, San Juan 00949, Puerto Rico
(18.456375, -66.182243)"
Bahia Marina Condo Hotel,"Punta Soldado Road, Km 2.4, 00775, Puerto Rico",18.301001,-65.296165,"Punta Soldado Road, Km 2.4, 00775, Puerto Rico
(18.301001, -65.296165)"
Condado Lagoon Villas at Caribe Hilton,"1 San Geronimo Street, San Juan 00901, Puerto Rico",18.46405,-66.085808,"1 San Geronimo Street, San Juan 00901, Puerto Rico
(18.46405, -66.085808)"
Gran Melia Golf Resort Puerto Rico,"200 Coco Beach Boulevard | Road 955-I, Rio Grande 00745, Puerto Rico",18.41827,-65.793648,"200 Coco Beach Boulevard | Road 955-I, Rio Grande 00745, Puerto Rico
(18.41827, -65.793648)"
Hotel Yunque Mar,"6 Calle 1, Luquillo 00773, Puerto Rico",18.37537,-65.727219,"6 Calle 1, Luquillo 00773, Puerto Rico
(18.37537, -65.727219)"
Tamarindo Estates Beach Cottages,"PO Box 313 | End of Tamarindo Road, 00775, Puerto Rico",18.314333,-65.314499,"PO Box 313 | End of Tamarindo Road, 00775, Puerto Rico
(18.314333, -65.314499)"
Parador Palmas De Lucia,"Panoramic Rd 901 Int 9911 | Sector Playa Lucia, Yabucoa 00767, Puerto Rico",18.039779,-65.835303,"Panoramic Rd 901 Int 9911 | Sector Playa Lucia, Yabucoa 00767, Puerto Rico
(18.039779, -65.835303)"
Howard Johnson Hotel Carolina/San Juan,"4820 Isla Verde Ave, Isla Verde, Carolina 00979, Puerto Rico",18.443569,-66.026802,"4820 Isla Verde Ave, Isla Verde, Carolina 00979, Puerto Rico
(18.443569, -66.026802)"
Howard Johnson Ponce PR,"Tuppo Industrial Park 103 | Mercedita, Ponce 00715, Puerto Rico",18.007,-66.575844,"Tuppo Industrial Park 103 | Mercedita, Ponce 00715, Puerto Rico
(18.007, -66.575844)"
Casa Condado Hotel,"60 Condado Avenue | Condado, San Juan 00907, Puerto Rico",18.4536,-66.073441,"60 Condado Avenue | Condado, San Juan 00907, Puerto Rico
(18.4536, -66.073441)"
Courtyard by Marriott Aguadilla,"200 W Parade Ramey Base, Aguadilla 00603, Puerto Rico",18.434601,-67.15519,"200 W Parade Ramey Base, Aguadilla 00603, Puerto Rico
(18.434601, -67.15519)"
Howard Johnson Downtown Mayaguez,"Calle Mendez Vigo 70 Este | Mayaguez Plaza / Cathedral, Mayaguez 00680, Puerto Rico",18.201,-67.138336,"Calle Mendez Vigo 70 Este | Mayaguez Plaza / Cathedral, Mayaguez 00680, Puerto Rico
(18.201, -67.138336)"
Manatee Eco Resort,"Calle A #296, Salinas 00751, Puerto Rico",17.958158,-66.28904,"Calle A #296, Salinas 00751, Puerto Rico
(17.958158, -66.28904)"
At Wind Chimes Boutique Hotel,"1750 McLeary Ave | Condado, San Juan 00911, Puerto Rico",18.45299,-66.060501,"1750 McLeary Ave | Condado, San Juan 00911, Puerto Rico
(18.45299, -66.060501)"
"Le Consulat, Ascend Collection Hotel","1149 Magdalena Ave Condado, San Juan 00907, Puerto Rico",18.45569,-66.073448,"1149 Magdalena Ave Condado, San Juan 00907, Puerto Rico
(18.45569, -66.073448)"
The Crow's Nest,"PO Box 1521, 00765, Puerto Rico",18.126286,-65.440102,"PO Box 1521, 00765, Puerto Rico
(18.126286, -65.440102)"
IHP Hotel El Faro,"Carr. 107 km 2.1 Bo. Borinquen, Aguadilla 00603, Puerto Rico",18.462368,-67.154802,"Carr. 107 km 2.1 Bo. Borinquen, Aguadilla 00603, Puerto Rico
(18.462368, -67.154802)"
Quality Inn El Portal,"76 Condado Ave, San Juan 00908, Puerto Rico",18.45405,-66.073059,"76 Condado Ave, San Juan 00908, Puerto Rico
(18.45405, -66.073059)"
Parador El Buen Cafe Hotel,"381 Ctra 2 | Bo Carrizales, Hatillo 00659, Puerto Rico",18.4882954,-66.7891979,"381 Ctra 2 | Bo Carrizales, Hatillo 00659, Puerto Rico
(18.4882954, -66.7891979)"
Hyatt Hacienda Del Mar,"301 Hwy 693, Dorado 00646, Puerto Rico",18.476191,-66.318993,"301 Hwy 693, Dorado 00646, Puerto Rico
(18.476191, -66.318993)"
Hotel Villa del Sol,"4 Calle Rosa, Isla Verde, Carolina 00979, Puerto Rico",18.443029,-66.015968,"4 Calle Rosa, Isla Verde, Carolina 00979, Puerto Rico
(18.443029, -66.015968)"
Comfort Inn,"Calle Clemenceau 6 | Condado, San Juan 00907, Puerto Rico",18.456869,-66.075531,"Calle Clemenceau 6 | Condado, San Juan 00907, Puerto Rico
(18.456869, -66.075531)"
ESJ Towers,"6165 Isla Verde Ave., Isla Verde, Carolina, Puerto Rico",18.442976,-66.017242,"6165 Isla Verde Ave., Isla Verde, Carolina, Puerto Rico
(18.442976, -66.017242)"
Hotel Posada Jayuya,"49 Guillermo Esteves, Jayuya 00664, Puerto Rico",18.221575,-66.588219,"49 Guillermo Esteves, Jayuya 00664, Puerto Rico
(18.221575, -66.588219)"
Bahia Salinas Beach Resort & Spa,"Carr 301 Km 11, Cabo Rojo 00622, Puerto Rico",17.951166,-67.195663,"Carr 301 Km 11, Cabo Rojo 00622, Puerto Rico
(17.951166, -67.195663)"
IHP Mayaguez Plaza,"McKinley Ave. 70 E., Mayaguez 00680, Puerto Rico",,,
El Legado Golf Resort,"PO Box 2880, Guayama 00785, Puerto Rico",17.984279,-66.186145,"PO Box 2880, Guayama 00785, Puerto Rico
(17.984279, -66.186145)"
Parador El Guajataca,"Road #2 , Km 103.8 | Terranova Ward, Quebradillas 00678, Puerto Rico",18.48336,-66.940483,"Road #2 , Km 103.8 | Terranova Ward, Quebradillas 00678, Puerto Rico
(18.48336, -66.940483)"
Cofresi Beach Hotel,"Road 101 (Cabo Rojo), Boqueron 00622, Puerto Rico",18.026461,-67.170135,"Road 101 (Cabo Rojo), Boqueron 00622, Puerto Rico
(18.026461, -67.170135)"
Sandy Beach Hotel,"4 Condado Avenue | Condado, San Juan 00907, Puerto Rico (Formerly El Canario by the Sea)",18.457083,-66.072334,"4 Condado Avenue | Condado, San Juan 00907, Puerto Rico (Formerly El Canario by the Sea)
(18.457083, -66.072334)"
San Juan Airport Hotel,"Luis Munoz Marin International Airport, San Juan 00937, Puerto Rico",18.440166,-66.003998,"Luis Munoz Marin International Airport, San Juan 00937, Puerto Rico
(18.440166, -66.003998)"
Radisson Ambassador Plaza Hotel & Casino San Juan,"1369 Ashford Ave., San Juan 00907, Puerto Rico",18.45503,-66.067299,"1369 Ashford Ave., San Juan 00907, Puerto Rico
(18.45503, -66.067299)"
Caribe Playa Beach Resort,"Road # 3, Km 112.1, Patillas 00723, Puerto Rico",17.976008,-65.933699,"Road # 3, Km 112.1, Patillas 00723, Puerto Rico
(17.976008, -65.933699)"
Hotel Parador Villa del Mar,"3 Calle Albizu Campos, La Parguera 00683, Puerto Rico",18.255765,-66.10768,"3 Calle Albizu Campos, La Parguera 00683, Puerto Rico
(18.255765, -66.10768)"
Mayaguez Resort & Casino,"Route 104, Km 0.3, Mayaguez 00680, Puerto Rico",18.219666,-67.152496,"Route 104, Km 0.3, Mayaguez 00680, Puerto Rico
(18.219666, -67.152496)"
Ponce Plaza Hotel & Casino | Ramada Ponce,"Reina & Union Street, Ponce 00733, Puerto Rico",18.012292,-66.614799,"Reina &amp; Union Street, Ponce 00733, Puerto Rico
(18.012292, -66.614799)"
Pichi's Hotel & Convention Center,"Exit 205 road 127 km 8.6, Guayanilla 00656, Puerto Rico (Formerly Best Western)",18.031809,-66.796401,"Exit 205 road 127 km 8.6, Guayanilla 00656, Puerto Rico (Formerly Best Western)
(18.031809, -66.796401)"
Hotel Iberia,"1464 Wilson Street, San Juan, Puerto Rico",18.452166,-66.065002,"1464 Wilson Street, San Juan, Puerto Rico
(18.452166, -66.065002)"
Parador Boquemar,"Carretera 101 | Boqueron Village, Cabo Rojo 00622, Puerto Rico",18.0252,-67.1722,"Carretera 101 | Boqueron Village, Cabo Rojo 00622, Puerto Rico
(18.0252, -67.1722)"
S.J. Suites,"Fortaleza St. #253 | Old San Juan, San Juan 00901, Puerto Rico",18.465645,-66.118202,"Fortaleza St. #253 | Old San Juan, San Juan 00901, Puerto Rico
(18.465645, -66.118202)"
Parador Caribbean Paradise,"Road # 3 km 114.3, Patillas 00723, Puerto Rico",17.973003,-65.953796,"Road # 3 km 114.3, Patillas 00723, Puerto Rico
(17.973003, -65.953796)"
Rincon of the Seas Grand Caribbean Hotel,"Rd. 115, Km 12.2, Rincon 00677, Puerto Rico",18.330099,-67.250801,"Rd. 115, Km 12.2, Rincon 00677, Puerto Rico
(18.330099, -67.250801)"
El Canario by the Lagoon,"4 Clemenceau Street | Condado, San Juan 00907, Puerto Rico",18.456631,-66.074989,"4 Clemenceau Street | Condado, San Juan 00907, Puerto Rico
(18.456631, -66.074989)"
Atlantic Beach Hotel,"1 Vendig St. | Condado, San Juan 00907, Puerto Rico",18.457167,-66.072334,"1 Vendig St. | Condado, San Juan 00907, Puerto Rico
(18.457167, -66.072334)"
Howard Johnson Centro Cardiovascular San Juan,"4th Nivel Ave. Americo Miranda | Centro Medico de Rio Piedras, San Juan 00935, Puerto Rico",18.39942,-66.071114,"4th Nivel Ave. Americo Miranda | Centro Medico de Rio Piedras, San Juan 00935, Puerto Rico
(18.39942, -66.071114)"
